The shift from an individual contributor's execution focus leads to a manager's {{c1::enabling}} focus.	Delegating to create growth.	leadership::google-management-essentials
A manager must shift from making tactical decisions to considering {{c1::systemic impact}}.	Thinking in second-order effects.	leadership::google-management-essentials
High-performing teams shift from a "blame" culture to a "{{c1::learning}}" culture.	Important for building trust and open communication.	leadership::google-management-essentials
In the SMART goal framework, 'A' stands for {{c1::Attainable}}.	Meaning realistic and achievable.	leadership::google-management-essentials
In the SMART goal framework, 'R' stands for {{c1::Relevant}}.	Meaning aligned with broader team and company goals.	leadership::google-management-essentials
{{c1::Feedback}} is timely, actionable, and focuses on past/present behavior.	Distinct from coaching.	leadership::google-management-essentials
{{c1::Coaching}} is collaborative, inquisitive, and focuses on future growth.	Distinct from feedback.	leadership::google-management-essentials
In coaching, it's advised to avoid asking "{{c1::Why}}" because it can feel accusatory.	Instead, use open-ended questions like "Tell me more about..."	leadership::google-management-essentials
In the SBI feedback model, 'I' stands for {{c1::Impact}}, which is the result of the behavior.	The other two are Situation and Behavior.	leadership::google-management-essentials
Multitasking is discouraged because it can decrease productivity by up to {{c1::40%}}.	Part of strategic time management.	leadership::google-management-essentials
